
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, Mures, Anul 1995, Numar persoane, 614110
Total, Total, Total, Mures, Anul 1996, Numar persoane, 612437
Total, Total, Total, Mures, Anul 1997, Numar persoane, 611001
Total, Total, Total, Mures, Anul 1998, Numar persoane, 609877
Total, Total, Total, Mures, Anul 1999, Numar persoane, 609309
Total, Total, Total, Mures, Anul 2000, Numar persoane, 608591
Total, Total, Total, Mures, Anul 2001, Numar persoane, 608931
Total, Total, Total, Mures, Anul 2002, Numar persoane, 609141
Total, Total, Total, Mures, Anul 2003, Numar persoane, 608565
Total, Total, Total, Mures, Anul 2004, Numar persoane, 608289
Total, Total, Total, Mures, Anul 2005, Numar persoane, 607407
Total, Total, Total, Mures, Anul 2006, Numar persoane, 606961
Total, Total, Total, Mures, Anul 2007, Numar persoane, 605853
Total, Total, Total, Mures, Anul 2008, Numar persoane, 605092
Total, Total, Total, Mures, Anul 2009, Numar persoane, 604647
Total, Total, Total, Mures, Anul 2010, Numar persoane, 603708
Total, Total, Total, Mures, Anul 2011, Numar persoane, 602537
Total, Total, Total, Mures, Anul 2012, Numar persoane, 601226
Total, Total, Total, Mures, Anul 2013, Numar persoane, 599984
Total, Total, Total, Mures, Anul 2014, Numar persoane, 598872
Total, Total, Total, Mures, Anul 2015, Numar persoane, 597965
Total, Total, Total, Mures, Anul 2016, Numar persoane, 596352
Total, Total, Total, Mures, Anul 2017, Numar persoane, 595147
Total, Total, Total, Sibiu, Anul 1992, Numar persoane, 458868
Total, Total, Total, Sibiu, Anul 1993, Numar persoane, 456986
Total, Total, Total, Sibiu, Anul 1994, Numar persoane, 457056
Total, Total, Total, Sibiu, Anul 1995, Numar persoane, 457434
Total, Total, Total, Sibiu, Anul 1996, Numar persoane, 456433
