
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Sibiu, Anul 2016, Numar persoane, 4680
Total, MACROREGIUNEA DOI, Anul 1990, Numar persoane, 65060
Total, MACROREGIUNEA DOI, Anul 1991, Numar persoane, 67153
Total, MACROREGIUNEA DOI, Anul 1992, Numar persoane, 69226
Total, MACROREGIUNEA DOI, Anul 1993, Numar persoane, 69950
Total, MACROREGIUNEA DOI, Anul 1994, Numar persoane, 73700
Total, MACROREGIUNEA DOI, Anul 1995, Numar persoane, 74442
Total, MACROREGIUNEA DOI, Anul 1996, Numar persoane, 79698
Total, MACROREGIUNEA DOI, Anul 1997, Numar persoane, 77022
Total, MACROREGIUNEA DOI, Anul 1998, Numar persoane, 73720
Total, MACROREGIUNEA DOI, Anul 1999, Numar persoane, 73583
Total, MACROREGIUNEA DOI, Anul 2000, Numar persoane, 72145
Total, MACROREGIUNEA DOI, Anul 2001, Numar persoane, 73667
Total, MACROREGIUNEA DOI, Anul 2002, Numar persoane, 76650
Total, MACROREGIUNEA DOI, Anul 2003, Numar persoane, 77020
Total, MACROREGIUNEA DOI, Anul 2004, Numar persoane, 73293
Total, MACROREGIUNEA DOI, Anul 2005, Numar persoane, 73502
Total, MACROREGIUNEA DOI, Anul 2006, Numar persoane, 72440
Total, MACROREGIUNEA DOI, Anul 2007, Numar persoane, 72866
Total, MACROREGIUNEA DOI, Anul 2008, Numar persoane, 73648
Total, MACROREGIUNEA DOI, Anul 2009, Numar persoane, 75281
Total, MACROREGIUNEA DOI, Anul 2010, Numar persoane, 77393
Total, MACROREGIUNEA DOI, Anul 2011, Numar persoane, 74038
Total, MACROREGIUNEA DOI, Anul 2012, Numar persoane, 76097
Total, MACROREGIUNEA DOI, Anul 2013, Numar persoane, 74909
Total, MACROREGIUNEA DOI, Anul 2014, Numar persoane, 76598
Total, MACROREGIUNEA DOI, Anul 2015, Numar persoane, 78048
Total, MACROREGIUNEA DOI, Anul 2016, Numar persoane, 77689
Total, Regiunea NORD-EST, Anul 1990, Numar persoane, 35655
Total, Regiunea NORD-EST, Anul 1991, Numar persoane, 36957
Total, Regiunea NORD-EST, Anul 1992, Numar persoane, 38554
Total, Regiunea NORD-EST, Anul 1993, Numar persoane, 38880
Total, Regiunea NORD-EST, Anul 1994, Numar persoane, 40578
Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 41177
Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 44389
Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 42654
Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 40911
Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 40623
Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 40176
Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 40539
Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 42815
Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 43264
